t,Subj_0,Subj_1,Subj_2,Subj_3,Subj_4,Subj_5,Subj_6,Subj_7,Subj_8,Subj_9,Subj_10,Subj_11,Subj_12,Subj_13,Subj_14,Subj_15,Subj_16,Subj_17,Subj_18,Subj_19,Subj_20,Subj_21,Subj_22,Subj_23,Subj_24,Subj_25,Subj_26,Subj_27,Subj_28,Subj_29
0.551,88.1356,90.7563,90.7407,79.1304,83.3333,88.5246,84.6154,81.5789,88.6957,88.2883,76.7241,94.958,91.8919,75.8929,86.8421,81.4159,100,86.9565,86.8421,92.7928,93.2203,81.0345,75.6303,88.5965,92.8571,98.2759,93.2203,89.8305,87.7049,98.2759
0.5714,88.1356,90.7563,90.7407,79.1304,83.3333,88.5246,84.6154,82.4561,88.6957,88.2883,76.7241,94.958,91.8919,75.8929,86.8421,81.4159,100,86.9565,86.8421,92.7928,93.2203,81.0345,74.7899,88.5965,92.8571,98.2759,93.2203,89.8305,87.7049,98.2759
0.5918,88.1356,90.7563,90.7407,79.1304,83.3333,86.8852,84.6154,82.4561,88.6957,88.2883,76.7241,95.7983,91.8919,75.8929,86.8421,81.4159,100,86.9565,86.8421,92.7928,93.2203,81.0345,74.7899,88.5965,92.8571,98.2759,93.2203,89.8305,87.7049,98.2759
0.6122,88.1356,90.7563,90.7407,79.1304,83.3333,88.5246,84.6154,82.4561,88.6957,88.2883,76.7241,95.7983,91.8919,75.8929,86.8421,81.4159,100,86.9565,86.8421,92.7928,93.2203,81.0345,74.7899,88.5965,92.8571,98.2759,93.2203,89.8305,87.7049,98.2759
0.6327,88.1356,90.7563,90.7407,79.1304,83.3333,88.5246,84.6154,82.4561,88.6957,88.2883,76.7241,95.7983,90.991,75.8929,86.8421,81.4159,100,86.9565,86.8421,92.7928,93.2203,81.0345,73.9496,86.8421,92.8571,98.2759,93.2203,89.8305,87.7049,98.2759
0.6531,88.1356,90.7563,90.7407,79.1304,83.3333,86.8852,84.6154,82.4561,87.8261,88.2883,75.8621,95.7983,90.991,75.8929,86.8421,81.4159,100,86.9565,86.8421,92.7928,93.2203,81.0345,73.9496,86.8421,91.9643,98.2759,93.2203,89.8305,87.7049,98.2759
0.6735,87.2881,90.7563,90.7407,79.1304,83.3333,86.8852,84.6154,82.4561,87.8261,88.2883,75.8621,95.7983,90.991,75.8929,87.7193,82.3009,100,86.9565,86.8421,92.7928,94.0678,81.0345,73.9496,85.9649,91.9643,98.2759,93.2203,89.8305,86.8852,98.2759
0.6939,87.2881,90.7563,90.7407,79.1304,83.3333,86.8852,84.6154,82.4561,87.8261,88.2883,76.7241,95.7983,91.8919,75.8929,87.7193,82.3009,100,86.9565,86.8421,92.7928,92.3729,81.0345,73.9496,85.9649,91.9643,98.2759,93.2203,89.8305,88.5246,98.2759
0.7143,86.4407,90.7563,90.7407,79.1304,83.3333,86.8852,84.6154,82.4561,87.8261,88.2883,76.7241,95.7983,91.8919,75.8929,88.5965,82.3009,100,86.9565,86.8421,92.7928,90.678,81.0345,73.9496,85.9649,93.75,99.1379,94.0678,89.8305,86.8852,98.2759
0.7347,86.4407,90.7563,90.7407,79.1304,83.3333,86.8852,84.6154,83.3333,87.8261,88.2883,76.7241,95.7983,91.8919,77.6786,91.2281,82.3009,100,86.9565,86.8421,93.6937,92.3729,81.0345,73.1092,85.9649,94.6429,99.1379,93.2203,89.8305,86.0656,98.2759
